Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net migration [SM.POP.NETM],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Time required to start a business (days) [IC.REG.DURS],"Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Urban population growth (annual %) [SP.URB.GROW],Age dependency ratio (% of working-age population) [SP.POP.DPND],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
2017,YR2017,Afghanistan,AFG,90.342,53.4,0.281195815732375,..,..,..,2751986638.9,5.129,51533896.765,18753456506.5708,2.6470032019574,2120,..,67,..,63.016,0.945226799939516,67.13641492,64.6,-47090,3811739990.23438,822731630.245558,54.6485411587937,35643418,..,..,..,106.129997253418,55.4021492004395,8.5,4.35357201508207,3.7815566165204,90.5430941060045,563.488239421983
2017,YR2017,Bangladesh,BGD,78.29,67.8,0.541787825904309,..,..,..,51068283464.6,2.043,1810395803.56746,293754781336,6.5902548153114,5000,..,97,..,71.788,1.12758110771325,93.29458051,34.1,-175755,3781770019.53125,13501933032.7097,1242.94356610586,161793964,..,..,..,109.125358581543,64.8559494018555,19.5,5.79903429874665,3.43472587197033,51.2917590885276,1376.60352606198
2017,YR2017,Bhutan,BTN,24.207,96.4,1.73186566700303,..,..,..,2607950876.9,1.704,-16553759.9525493,2591358114.48376,4.65183467529613,10660,..,97,6.7,70.847,..,96.62766062,30.6,291,118540000.915527,43153828.4255767,19.8228030620805,756121,0.9,8.2,..,99.7384338378906,86.6147003173828,12,11.0517704607358,2.7015276541538,46.4210053408004,2998.47320692901
2017,YR2017,India,IND,20.42,..,1.70492672078233,..,..,..,511575707373.6,2.2,39966091358.7384,2651474262735.28,6.79538342343425,6050,7.36067282279695,90,8.2,70.467,2.53151136056791,86.31708801,38.7,-219656,3198139892.57813,68967175499.8665,455.468934040542,1354195680,13.4,..,33.4,..,71.920539855957,29.8,10.0846800379296,2.407475136258,50.6848281757911,1795.91184972767
2017,YR2017,Maldives,MDV,10.086,99.5,3.27257102459138,65.2579932555074,..,..,1465723991.1,1.845,457808313.566538,4816426259.51373,7.05453899044939,17720,0.143975890139075,99,..,79.943,..,190.5249745,8.3,11665,46479999.5422363,4016988.86541627,1574.80666666667,472442,..,..,14.8,96.9436416625977,..,12,4.84709825811693,5.01431494748377,36.0303708246594,9972.37714365815
2017,YR2017,Nepal,NPL,70.165,58,0.470677340646946,..,..,..,4963402939.1,2.15,196265098.563575,28971588880.3546,8.97727935643466,3530,1.1842599479754,90,..,68.91,1.48497718496345,128.0766788,32.1,-78062,1269650024.41406,6928133767.08804,196.605692361353,28183426,..,..,..,135.194442749023,76.0962066650391,18.5,8.48049668523619,3.20864276792533,60.7993231045902,946.042557955599
2017,YR2017,Pakistan,PAK,45.803,..,0.918472672488548,..,..,..,93158143047.2,3.759,2496000000,339205534861.1,4.43262590683975,4820,2.1763687688896,76,..,66.297,3.08231782700656,66.79261828,71.8,-1574581,2364310058.59375,19856000000,280.691748391449,216379655,..,..,..,78.8430633544922,35.8526802062988,19.5,22.5483595742173,1.90054008619129,72.7431013557753,1542.90407107682
2017,YR2017,Sri Lanka,LKA,16.073,..,1.0759613709386,..,..,..,50765545978.7,2.053,1372723043.13402,94376237797.2367,6.4606812707036,13210,1.01991664789773,99,..,75.403,1.97692843257215,131.1169828,7.9,-98598,316170013.427734,7190296015.03347,347.48377037791,21506813,..,..,..,97.6488418579102,94.2680587768555,9,21.868048529895,0.776717477923079,52.0065433989629,4427.54255069831
2017,YR2017,Albania,ALB,16.585,..,1.88055711291312,63.6106665234143,..,..,9801454504.1,1.491,1022757857.07377,13019726211.7369,3.80259872019053,12800,0.0884563671350961,96,7.6,79.047,1.10915100558884,125.9205273,9.3,-9768,168350006.103516,1311822432.138,104.870693430657,2873457,0.4,23.4,1.5,109.716163635254,99.3089599609375,5,11.1409381354262,1.54128496391169,46.723001108545,4249.8200493985
2017,YR2017,Argentina,ARG,57.783,93.9,4.07011168693629,38.8683983871173,..,..,225925335186.1,2.168,11516861462.2845,643628393281.364,2.81850297775918,22990,9.2054192542743,89,5.1,76.833,0.856137916373543,140.5014607,10.3,4926,-1169999.95708466,479937459.808431,16.0941907925267,44044811,0.4,25.7,..,111.681457519531,110.412406921387,24.5,51.7302547597257,1.17019595911431,55.6112391046053,13595.0373551081
